epoch,cpu_temperature,cpu_usage,ram_usage,storage_usage
1728419841.7472937,47.225,0.5,13.9,45.801324541725855
1728419902.9054463,45.764,1.0,14.0,45.80133772491845
1728419964.0742393,46.738,0.3,14.0,45.801324541725855
1728420025.2294354,48.199,13.2,14.0,45.801364091303626
1728420086.3436508,46.251,0.3,14.0,45.80135090811104
1728420147.5119588,45.764,0.0,14.0,45.80137727449622
1728420208.629273,45.277,0.5,14.1,45.8014036408814
1728420269.845756,45.277,0.5,14.1,45.801430007266575
1728420330.9631739,45.277,7.9,14.1,45.801430007266575
1728420392.2241511,44.303,0.0,14.1,45.80145637365175
1728420453.3382182,44.303,0.3,14.1,45.80145637365175
1728420514.595366,43.329,0.5,14.1,45.801495923229524
1728420575.7729497,43.816,0.5,14.0,45.80150910642211
1728420636.9681263,43.816,5.8,14.0,45.801535472807295
1728420698.0824046,43.816,0.2,14.0,45.80156183919247
1728420759.36913,43.816,0.0,14.0,45.80154865599988
1728420820.4865472,44.79,1.0,14.1,45.80156183919247
1728420881.6436286,42.842,0.5,14.1,45.80161457196283
1728420942.763189,43.816,8.0,14.3,45.801601388770244
1728421003.969422,43.329,2.5,13.9,45.80161457196283
1728421065.084926,43.329,0.0,13.9,45.80164093834801
1728421126.2357833,43.816,0.5,13.9,45.80164093834801
1728421187.3984752,44.303,1.0,13.9,45.801654121540594
1728421248.559545,43.816,0.8,13.9,45.801654121540594
1728421309.6792195,43.329,8.4,13.9,45.801654121540594
1728421370.8669405,43.329,0.0,13.8,45.80166730473319
1728421431.9816391,43.816,0.5,13.9,45.80168048792578
1728421493.1447911,42.842,0.8,13.9,45.80168048792578
1728421555.2917516,44.303,2.8,13.8,45.80170685431096
1728421616.4329054,44.79,1.5,13.9,45.801693671118365
1728421677.5482583,43.816,0.0,13.9,45.801693671118365
1728421738.707782,43.329,0.3,13.9,45.80172003750354
1728421799.8563025,43.329,1.0,13.9,45.801733220696136
1728421861.010822,43.329,1.0,13.9,45.80172003750354
1728421922.1669831,43.816,6.9,13.9,45.80172003750354
1728421983.3364766,42.842,0.2,13.9,45.801759587081314
1728422044.5377102,42.842,2.0,13.9,45.801759587081314
1728422105.7014585,43.329,0.5,13.9,45.8017727702739
1728422166.8636935,42.842,4.3,13.9,45.80185186942944
1728422228.0227957,43.816,11.0,14.1,45.80178595346649
1728422289.1473117,42.842,0.3,14.1,45.801799136659085
1728422350.2880988,42.355,0.0,14.0,45.80178595346649
1728422411.4635916,42.355,0.5,14.1,45.80178595346649
1728422472.6182935,42.842,0.8,14.0,45.80178595346649
1728422533.7367857,42.355,13.9,14.1,45.80183868623685
1728422594.9408026,42.355,0.0,14.0,45.80183868623685
1728422656.0561125,43.329,0.3,14.1,45.80183868623685
1728422717.209432,42.355,1.2,14.0,45.80185186942944
1728422778.3656132,43.329,0.5,14.0,45.80185186942944
1728422839.5106165,42.842,11.5,14.0,45.801865052622034
1728422900.6245506,43.329,0.3,14.1,45.80189141900721
1728422961.7667267,43.329,0.3,14.1,45.80187823581462
1728423022.9207797,42.842,1.0,14.1,45.80187823581462
1728423084.0981908,43.329,1.0,14.1,45.80189141900721
1728423145.2662942,43.329,10.0,14.1,45.80187823581462
1728423206.423854,43.329,1.2,14.1,45.8019046021998
1728423267.5705307,43.329,1.7,14.1,45.80189141900721
1728423328.685051,42.842,0.5,14.1,45.8019046021998
1728423389.876248,43.329,0.5,14.0,45.80191778539239
1728423450.9940426,42.355,0.5,14.0,45.801957334970155
1728423512.1546738,44.303,4.0,14.1,45.80194415177757
1728423573.3314066,43.816,1.8,14.1,45.80198370135534
1728423634.4801278,42.842,1.0,14.1,45.801957334970155
1728423695.593172,43.329,0.5,14.1,45.80198370135534
1728423756.7407372,42.842,0.3,14.1,45.80197051816275
1728423817.8852208,43.329,10.2,14.0,45.80198370135534
1728423879.0748053,42.355,0.3,14.0,45.80198370135534
1728423940.191289,42.842,0.5,14.0,45.80199688454793
1728424001.4236686,43.816,1.0,14.1,45.80198370135534
1728424062.5414538,42.842,0.5,14.1,45.80201006774052
1728424123.7025955,43.329,13.4,14.1,45.802023250933104
1728424184.8515208,43.816,0.2,14.0,45.80204961731829
1728424245.9955492,43.329,0.5,14.1,45.80204961731829
1728424307.112414,43.816,2.8,14.1,45.80208916689605
1728424368.2522175,43.329,0.3,14.2,45.80207598370347
1728424429.3992286,43.816,12.9,14.1,45.80208916689605
1728424490.5506597,43.816,1.0,14.1,45.80207598370347
1728424551.6749668,43.329,0.5,14.1,45.80211553328123
1728424612.8961687,43.329,0.3,14.1,45.80210235008864
1728424674.0152447,42.842,0.5,14.1,45.80211553328123
1728424735.161901,42.842,8.1,14.2,45.80208916689605
1728424796.3169239,44.79,0.5,14.1,45.80210235008864
1728424857.4661593,43.329,0.0,14.1,45.802128716473824
1728424918.5835152,44.79,0.3,14.1,45.802155082859
1728424979.7296112,42.842,0.5,14.2,45.802155082859
1728425040.8918705,42.842,2.8,14.1,45.80219463243677
1728425102.1159945,43.816,2.0,14.1,45.80222099882195
1728425163.2323258,42.842,0.2,14.1,45.80222099882195
1728425224.4888802,43.329,2.5,14.1,45.80220781562936
1728425285.6053746,42.842,1.3,14.1,45.80222099882195
1728425346.7572587,42.842,0.7,14.2,45.80223418201454
1728425407.911894,43.329,6.3,14.0,45.80222099882195
1728425469.055091,43.329,0.0,14.0,45.80223418201454
1728425530.1725132,43.329,1.0,14.1,45.80223418201454
1728425591.3471603,43.329,1.8,14.0,45.80226054839972
1728425652.4617121,43.816,0.0,14.0,45.80226054839972
1728425713.612281,43.816,12.6,14.1,45.80227373159231
1728425774.7274628,43.329,0.0,14.1,45.802300097977486
1728425835.9492273,42.842,1.5,14.0,45.802300097977486
1728425897.0676143,42.355,1.0,14.0,45.802300097977486
