epoch,cpu_temperature,cpu_usage,ram_usage,storage_usage
1733532554,39.433,0.0,9.5,46.55781568209312
1733536155,37.972,0.5,9.5,46.55819799467821
1733539757,37.485,0.2,9.5,46.5585934904559
1733543359,37.485,0.2,9.5,46.55892307027064
1733546960,36.511,0.3,9.5,46.55935811562609
1733550562,37.972,8.9,9.4,46.55975361140378
1733554163,36.511,3.0,9.5,46.560175473566645
1733557766,36.998,0.5,9.5,46.56054460295916
1733561367,35.537,0.5,9.5,46.560966465122014
1733564969,45.277,0.5,9.4,46.5613619608997
1733568570,48.686,0.5,9.5,46.56178382306257
1733572172,52.582,0.2,9.5,46.56220568522544
1733575774,52.095,6.4,9.5,46.5896794585821
1733579376,52.582,3.5,9.6,46.59008813755238
1733582977,52.095,0.3,9.5,46.59048363333007
1733586579,53.069,0.5,9.6,46.59087912910775
1733590181,53.069,0.3,9.6,46.59130099127061
1733593783,55.504,0.2,9.6,46.591670120663125
1733597384,57.939,0.0,9.6,46.59211834921117
1733600986,51.608,13.6,9.6,46.59279069203323
1733604587,48.199,1.0,9.6,46.59318618781093
1733608189,42.355,0.5,9.7,46.59356850039602
1733611790,40.894,0.0,9.6,46.59396399617371
1733615391,40.407,0.0,9.6,46.59438585833658
1733618993,40.407,0.0,9.7,46.59478135411426
1733622595,38.946,13.1,9.6,46.595203216277135
1733626196,38.946,0.3,9.5,46.59558552886223
1733629797,37.972,0.7,9.5,46.41998540356917
1733633399,37.972,0.3,9.6,46.42034134976908
1733637001,37.972,1.0,9.5,46.42076321193195
1733640602,36.024,0.3,9.6,46.42117189090222
1733644203,36.998,12.3,9.6,46.42154102029473
1733647805,36.024,0.3,9.5,46.42200243203537
1733651407,43.329,0.3,9.6,46.42235837823529
1733655008,45.764,0.7,9.7,46.42279342359074
1733658610,45.764,0.5,9.6,46.42317573617584
1733662212,46.738,0.0,9.5,46.423610781531295
1733665814,50.634,0.0,10.2,46.424480872242206
1733669415,50.634,6.4,10.3,46.42535096295312
1733673017,56.965,13.1,10.3,46.42620787047144
1733676619,53.069,42.5,10.3,46.42707796118236
1733680221,50.147,0.5,10.3,46.42789531912291
1733683823,49.66,36.2,10.2,46.42875222664123
1733687424,44.79,0.3,10.3,46.45662149577558
1733691026,45.277,7.6,10.3,46.45743885371613
1733694628,39.433,2.8,10.3,46.45828257804187
1733698229,38.946,0.2,10.3,46.45911311917501
1733701831,38.946,0.0,10.7,46.4600095762711
1733705432,39.433,0.3,10.4,46.46081375101906
1733709034,38.459,0.0,10.1,46.4616442921522
1733712636,37.485,0.0,10.3,46.46250119967053
1733716238,38.459,13.1,10.2,46.463358107188846
1733719840,37.972,0.2,10.1,46.4641754651294
1733723441,38.459,0.0,10.3,46.465019189455134
1733727043,36.998,0.2,10.4,46.49284890901171
1733730645,36.511,0.2,9.9,46.4937453661078
1733734247,37.485,0.5,9.7,46.49416722827067
1733737848,39.433,0.3,9.6,46.49456272404836
1733741449,44.303,9.2,9.7,46.49497140301864
1733745051,48.199,0.5,9.7,46.4953932651815
1733748653,52.095,0.2,9.7,46.49580194415178
1733752254,56.478,0.3,9.6,46.49619743992947
1733755856,55.991,0.0,9.7,46.49659293570716
1733759457,54.53,0.0,9.8,46.497014797870015
1733763059,52.095,11.8,9.7,46.4974102936477
1733766661,49.66,0.5,9.7,46.49781897261799
1733770263,41.868,0.5,9.6,46.498240834780844
1733773864,44.303,0.3,9.7,46.498649513751126
1733777465,42.355,0.2,9.7,46.49903182633622
1733781067,41.868,0.2,9.7,46.49946687169168
1733784669,39.92,6.1,9.7,46.499849184276776
1733788270,39.92,0.2,9.7,46.50024468005447
1733791872,40.407,0.2,9.7,46.50069290860251
1733795473,39.433,0.3,9.8,46.50129933546162
1733799075,38.946,0.3,9.8,46.50169483123931
1733802677,38.946,0.2,9.7,46.50215624297995
1733806278,37.485,2.5,9.7,46.5027231202613
1733809880,36.511,10.5,9.7,46.50301315049828
1733813482,35.537,0.3,9.7,46.503435012661136
1733817083,36.511,0.5,9.7,46.50381732524624
1733820684,36.998,0.5,9.8,46.50426555379428
1733824286,38.459,0.0,9.8,46.50495107980894
1733827887,39.92,0.2,9.8,46.506032101601285
1733831489,39.433,8.7,9.7,46.5063880478012
1733835091,45.764,0.0,9.8,46.50679672677148
1733842308,51.121,0.0,8.1,46.481656378503175
1733845910,52.095,0.2,8.1,46.48206505747345
1733849511,54.53,11.5,8.1,46.48248691963632
1733853113,52.095,0.2,6.0,46.482882415414
1733856714,46.738,0.2,5.9,46.4832647279991
1733860316,40.407,0.0,6.1,46.48391070443599
1733863919,39.433,0.3,6.1,46.48453031448769
1733867521,38.946,0.0,6.1,46.484978543035744
1733871122,36.511,0.0,6.1,46.48537403881343
1733874724,34.076,9.7,6.1,46.48576953459112
1733878325,34.563,0.3,5.9,46.48619139675398
1733881927,34.076,0.2,6.0,46.48657370933908
1733885528,33.589,0.5,6.1,46.48702193788712
1733889130,35.05,2.0,6.1,46.48765473113142
1733892732,32.615,0.0,6.1,46.487971127753575
1733896334,33.102,2.3,6.1,46.48836662353126
1733899935,31.641,10.0,6.0,46.48877530250154
1733903537,31.641,0.3,6.1,46.489170798279225
1733907139,31.641,0.3,6.1,46.48981677471611
1733910740,40.407,0.0,6.1,46.49023863687898
1733914342,42.355,0.0,6.1,46.5176464942727
1733917944,44.79,0.2,6.1,46.51805517324297
1733921545,48.686,7.7,6.2,46.51842430263548
1733925147,48.686,0.0,6.1,46.51885934799093
1733928750,50.147,0.2,6.1,46.5192812101538
1733932352,51.121,0.0,6.1,46.51967670593149
1733935954,52.582,0.3,6.1,46.52008538490177
1733939555,53.069,0.3,6.2,46.52045451429427
1733943157,50.147,0.0,6.1,46.52087637645714
1733946758,45.277,9.7,6.1,46.5213114218126
1733950359,44.79,0.0,6.1,46.52172010078287
1733953960,40.894,0.3,6.1,46.522128779753146
1733957561,38.459,0.5,6.1,46.52251109233824
1733961163,37.972,0.0,6.1,46.52291977130852
1733964765,35.537,0.0,6.1,46.52334163347139
1733968367,35.537,5.3,6.2,46.52375031244166
1733971969,33.589,4.0,6.1,46.524620403152575
1733975570,32.128,0.0,6.1,46.525029082122856
1733979172,31.641,0.0,6.1,46.52545094428572
1733982774,32.615,0.0,6.1,46.52587280644859
1733986375,32.615,0.8,6.1,46.52630785180404
1733989977,31.641,0.0,6.1,46.52666379800396
1733993578,32.615,4.5,6.1,46.527046110589055
1733997179,41.868,0.3,6.2,46.527481155944514
1734000781,46.738,0.3,6.1,46.5278766517222
1734004382,49.173,0.0,6.1,46.52828533069248
1734007984,50.147,0.0,6.1,46.5287599256257
1734011586,48.686,0.0,11.9,46.877732216664185
1734015187,52.095,11.5,14.9,46.88054023668576
1734018788,49.66,1.5,14.6,46.88093573246345
1734022390,55.017,0.3,14.6,46.88154215932258
1734025991,55.017,0.0,6.2,46.88195083829285
1734029593,54.043,0.0,6.2,46.88237270045572
1734033195,53.556,0.0,6.2,46.882794562618585
1734036797,48.686,13.4,6.2,46.88346690544065
1734040398,41.868,0.7,6.2,46.88387558441093
1734044000,39.92,0.5,6.2,46.8842842633812
1734047601,37.972,0.3,6.1,46.88469294235148
1734051203,37.972,0.2,6.1,46.88511480451435
1734054804,36.998,0.2,6.2,46.88552348348463
1734058406,35.537,13.3,6.2,46.88591897926231
1734062008,34.563,0.3,6.2,46.88597171203267
1734065609,35.05,0.0,6.2,46.88640675738813
1734069211,34.076,0.0,6.1,46.886789069973226
1734072813,34.563,0.3,6.2,46.887210932136085
1734076414,33.102,0.5,6.2,46.887606427913774
1734080016,35.05,1.8,6.2,46.888015106884055
1734083617,36.998,7.4,6.2,46.88843696904692
1734087219,43.816,0.0,6.2,46.8888456480172
1734090820,45.764,0.0,6.1,46.88925432698747
1734094421,45.277,0.2,6.1,46.88966300595775
1734098022,47.712,0.0,6.1,46.8900980513132
1734101624,51.121,3.0,6.2,46.91776957255871
1734105226,51.121,3.3,6.2,46.91819143472158
1734108828,52.582,0.2,6.2,46.91858693049926
1734112430,55.017,0.8,6.2,46.91899560946954
1734116031,52.582,0.0,6.2,46.91940428843981
1734119633,55.991,0.2,6.2,46.91978660102492
1734123235,45.277,0.0,6.2,46.92019527999519
1734126836,36.511,13.6,8.5,46.64664403376163
1734130819,37.485,5.8,9.5,46.58720101837526
1734134420,37.485,0.0,9.5,46.58759651415295
1734138021,36.511,0.2,9.4,46.67894285560608
1734141622,35.05,0.2,9.4,46.679377900961526
1734145224,35.537,0.3,9.4,46.67976021354663
1734148825,36.511,11.0,9.4,46.680142526131725
1734152427,35.05,2.5,9.5,46.6808016857612
1734156029,34.563,0.3,9.5,46.68117081515371
1734159631,34.563,0.0,9.5,46.68159267731657
1734163232,34.076,1.3,9.5,46.68201453947945
1734166834,35.537,0.0,9.5,46.682607783145976
1734170435,36.511,9.8,10.0,46.68304282850143
1734174037,39.433,11.1,9.6,46.68346469066429
1734177639,40.407,0.0,9.4,46.68387336963457
1734181241,37.972,0.5,9.5,46.68425568221967
1734184842,42.355,0.0,9.5,46.684664361189945
1734188444,44.79,0.3,9.5,46.685059856967634
1734192045,46.738,0.0,9.5,46.68550808551568
1734195647,40.894,10.5,9.6,46.68589039810077
1734199248,36.998,0.0,9.6,46.68628589387846
1734202849,38.459,0.0,9.6,46.68668138965615
1734206451,41.381,0.3,9.6,46.68707688543384
1734210053,37.972,0.0,9.6,46.68749874759671
1734213655,36.024,0.2,9.6,46.68784151060403
1734217256,35.537,4.3,9.6,46.6882633727669
1734220858,33.589,5.8,9.6,46.688645685352
1734224459,35.05,0.2,9.6,46.68904118112968
1734228061,36.024,0.8,9.6,46.68946304329255
1734231662,36.024,0.7,9.6,46.61456932619121
