epoch,distance_mm
1726137178,5750
1726137188,5749
1726137198,5750
1726137208,4201
1726137218,4201
1726137228,4197
1726137238,4200
1726137248,4194
1726137258,4193
1726137269,4192
1726137279,4196
1726137289,4192
1726137299,4192
1726137309,4194
1726137319,4195
1726137329,4196
1726137339,4200
1726137349,4196
1726137359,4197
1726137369,4199
1726137379,4198
1726137389,4201
1726137400,4196
1726137410,4205
1726137420,4203
1726137430,4203
1726137440,4198
1726137450,4204
1726137460,5749
1726137470,4199
1726137480,4196
1726137490,4202
1726137500,4196
1726137510,4201
1726137520,4201
1726137531,4197
1726137541,4197
1726137551,4199
1726137561,4196
1726137571,4195
1726137581,4196
1726137591,4196
1726137601,4197
1726137611,4197
1726137621,4193
1726137631,4194
1726137641,4195
1726137652,4198
1726141411,4200
1726141421,4198
1726141431,4199
1726141441,4193
1726141452,4195
1726141462,4197
1726141472,4194
1726141482,4191
1726141492,4195
1726141502,4194
1726141512,4194
1726141532,4192
1726141542,4195
1726141552,4198
1726141562,4196
1726141572,4196
1726141583,4217
1726141593,4196
1726141603,5744
1726141613,5743
1726141623,4198
1726141633,4200
1726141643,4202
1726159895,4199
1726159925,4190
1726159955,4195
1726159985,4196
1726160015,4199
1726160045,4191
1726160075,4199
1726160106,4192
1726160136,4196
1726160166,4194
1726160196,4198
1726160226,4194
1726160256,4201
1726160286,4202
1726160316,4200
1726160346,4190
1726160376,4194
1726160406,4199
1726160436,4198
1726160466,4198
1726160496,4195
1726160526,4190
1726160556,4201
1726160586,4202
1726160617,4199
1726160647,4200
1726160677,4203
1726160707,4202
1726164625,967
1726164655,966
1726164685,966
1726164715,963
1726164745,964
1726164775,963
1726164805,963
1726164835,963
1726166068,981
1726166098,981
1726166128,981
1726166158,982
1726165947,981
1726165977,981
1726166008,981
1726166038,982
1726167150,981
1726167180,981
1726167210,981
1726167240,982
1726164865,964
1726164895,963
1726164925,963
1726164955,963
1726167631,982
1726167661,982
1726167691,982
1726167721,981
1726166549,981
1726166579,982
1726166609,983
1726166639,982
1726166669,981
1726166699,981
1726166729,983
1726166759,981
1726165106,963
1726165136,963
1726165166,962
1726165196,967
1726165226,967
1726165256,967
1726165286,966
1726165316,967
1726167511,981
1726167541,980
1726167571,980
1726167601,981
1726165587,982
1726165617,981
1726165647,981
1726165677,983
1726165707,981
1726165737,982
1726165767,982
1726165797,981
1726164985,964
1726165015,963
1726165046,964
1726165076,963
1726166188,981
1726166218,981
1726166248,981
1726166278,982
1726167391,981
1726167421,980
1726167451,980
1726167481,982
1726165346,966
1726165376,966
1726165406,981
1726165436,981
1726167751,981
1726167781,981
1726167811,982
1726167841,981
1726167270,982
1726167300,981
1726167330,981
1726167360,981
1726166428,981
1726166459,981
1726166489,981
1726166519,981
1726166789,982
1726166819,980
1726166849,981
1726166880,981
1726167871,981
1726167902,980
1726167932,981
1726167962,981
1726165466,981
1726165496,981
1726165527,981
1726165557,981
1726166910,980
1726166940,980
1726166970,982
1726167000,981
1726167030,982
1726167060,981
1726167090,981
1726167120,981
1726165827,980
1726165857,981
1726165887,982
1726165917,982
1726166308,981
1726166338,981
1726166368,981
1726166398,981
1726167992,981
1726168022,981
1726168076,981
1726168107,981
1726168137,981
1726168176,981
1726168206,980
1726168296,980
1726168326,980
1726168356,981
1726168416,981
1726168446,980
1726168476,981
1726168537,980
1726168567,981
1726168597,981
1726168627,981
1726169138,981
1726169168,981
1726169198,982
1726169819,980
1726169849,980
1726169879,981
1726169909,981
1726169939,981
1726169970,980
1726170000,980
1726170030,980
1726179994,982
1726180024,982
1726180054,982
1726180084,982
1726266756,3414
1726266788,3416
1726266818,3415
1726266878,3414
1726267144,3420
1726267154,3416
1726267164,3415
1726267174,3415
1726267184,3414
1726267195,3415
1726267205,3417
1726267215,3414
1726267225,3414
1726267235,3414
1726267245,3413
1726267265,3414
1726267275,3412
1726267285,3414
1726267295,3413
1726267305,3414
1726267315,3413
1726267326,3414
1726267336,3414
1726267346,3414
1726267356,3416
1726267366,3415
1726267386,3416
1726267396,3417
1726267406,3416
1726267416,3418
1726267426,3417
1726267436,3417
1726267446,3420
1726267457,3418
1726267467,3417
1726267477,3418
1726267487,3418
1726267507,3419
1726267517,3419
1726267527,3417
1726267537,3419
1726267547,3418
1726267557,3416
1726267567,3420
1726267577,3421
1726267588,3418
1726267598,3418
1726267608,3416
1726267628,3418
1726267638,3418
1726267648,3417
