epoch,distance_mm
1733914616,7604
1733914636,7590
1733914656,7590
1733914677,7584
1733914697,7595
1733914717,7594
1733914737,7595
1733914757,7602
1733914777,7625
1733914797,7598
1733914818,7592
1733914838,7596
1733914858,7590
1733914878,7595
1733914918,7597
1733914939,9999
1733914959,7602
1733914979,7583
1733914999,7590
1733915019,7597
1733915039,7605
1733915060,7596
1733915080,7597
1733915100,7599
1733915120,7597
1733915140,7595
1733915160,7596
1733915180,7591
1733915221,7596
1733915241,7592
1733915261,7594
1733915281,7587
1733915301,7589
1733915322,7590
1733915342,7589
1733915362,7581
1733915382,7575
1733915402,7586
1733915422,7580
1733915442,7587
1733915463,7574
1733915483,7576
1733915523,7571
1733915543,7564
1733915563,7578
1733915584,7572
1733915604,7566
1733915624,9999
1733915644,7565
1733915664,7558
1733915684,7560
1733915705,7557
1733915725,7560
1733915745,7558
1733915765,7548
1733915785,7556
1733915826,7546
1733915846,7557
1733915866,7547
1733915886,7545
1733915906,7550
1733915926,7559
1733915947,7544
1733915967,7545
1733915987,7554
1733916007,7553
1733916027,7548
1733916047,7559
1733916068,7547
1733916088,7538
1733916128,7549
1733916148,7540
1733916168,7546
1733916188,7543
1733916209,7543
1733916229,7543
1733916249,7541
1733916269,7544
1733916289,7541
1733916309,7532
1733916330,7544
1733916350,7543
1733916370,7533
1733916390,7534
1733916430,7531
1733916451,7531
1733916471,7535
1733916491,7524
1733916511,7523
1733916531,7521
1733916551,7519
1733916572,7516
1733916592,7520
1733916612,7525
1733916632,7518
1733916652,7522
1733916672,7523
1733916693,9999
1733916733,7525
1733916753,7516
1733916773,7511
1733916793,7508
1733916813,7506
1733916834,7508
1733916854,7508
1733916874,7517
1733916894,9999
1733916914,7518
1733916934,7509
1733916955,7505
1733916975,7495
1733916995,9999
1733917035,7507
1733917055,7503
1733917076,7504
1733917096,7508
1733917116,7502
1733917136,7505
1733917156,7502
1733917176,7505
1733917196,5482
1733917217,7498
1733917237,7499
1733917257,7495
1733917277,7500
1733917297,7500
1733917338,7491
1733917358,7494
1733917378,7499
1733917398,7497
1733917418,7498
1733917438,7500
1733917459,7489
1733917479,7490
1733917499,7487
1733917519,7496
1733917539,7494
1733917559,7495
1733917580,7483
1733917600,9999
