log_time,image_time,log_image_difference
2024-10-05 15:21:32.736,2024-10-05 15:21:29,3.736
2024-10-05 15:24:54.133,2024-10-05 15:24:51,3.133
2024-10-05 15:28:16.584,2024-10-05 15:28:13,3.584
2024-10-05 15:31:38.856,2024-10-05 15:31:35,3.856
2024-10-05 15:35:00.261,2024-10-05 15:34:57,3.261
2024-10-05 15:38:22.721,2024-10-05 15:38:19,3.721
2024-10-05 15:41:43.978,2024-10-05 15:41:40,3.978
2024-10-05 15:45:06.413,2024-10-05 15:45:02,4.413
2024-10-05 15:48:27.826,2024-10-05 15:48:24,3.826
2024-10-05 15:51:49.091,2024-10-05 15:51:46,3.091
2024-10-05 15:55:11.535,2024-10-05 15:55:08,3.535
2024-10-05 15:58:32.907,2024-10-05 15:58:30,2.907
2024-10-05 16:01:55.186,2024-10-05 16:01:51,4.186
2024-10-05 16:05:16.658,2024-10-05 16:05:13,3.658
2024-10-05 16:08:38.072,2024-10-05 16:08:35,3.072
2024-10-05 16:12:00.376,2024-10-05 16:11:57,3.376
2024-10-05 16:15:21.822,2024-10-05 16:15:19,2.822
2024-10-05 16:18:43.195,2024-10-05 16:18:40,3.195
2024-10-05 16:22:06.463,2024-10-05 16:22:02,4.463
2024-10-05 16:25:27.884,2024-10-05 16:25:24,3.884
2024-10-05 16:28:49.290,2024-10-05 16:28:46,3.29
2024-10-05 16:32:11.552,2024-10-05 16:32:08,3.552
2024-10-05 16:35:32.957,2024-10-05 16:35:30,2.957
2024-10-05 16:38:55.360,2024-10-05 16:38:51,4.36
2024-10-05 16:40:29.443,2024-10-05 16:40:26,3.443
2024-10-05 16:42:16.674,2024-10-05 16:42:13,3.674
2024-10-05 16:45:38.121,2024-10-05 16:45:35,3.121
2024-10-05 16:49:00.499,2024-10-05 16:48:57,3.499
2024-10-05 16:52:22.778,2024-10-05 16:52:19,3.778
2024-10-05 16:55:44.216,2024-10-05 16:55:40,4.216
2024-10-05 16:59:05.629,2024-10-05 16:59:02,3.629
2024-10-05 17:02:29.870,2024-10-05 17:02:24,5.87
2024-10-05 17:05:49.255,2024-10-05 17:05:46,3.255
2024-10-05 17:09:12.689,2024-10-05 17:09:08,4.689
2024-10-05 17:12:32.972,2024-10-05 17:12:29,3.972
2024-10-05 17:15:55.357,2024-10-05 17:15:51,4.357
2024-10-05 17:19:16.737,2024-10-05 17:19:13,3.737
2024-10-05 17:22:38.958,2024-10-05 17:22:35,3.958
2024-10-05 17:26:00.371,2024-10-05 17:25:57,3.371
2024-10-05 17:29:22.732,2024-10-05 17:29:19,3.732
2024-10-05 17:32:43.980,2024-10-05 17:32:40,3.98
2024-10-05 17:36:08.394,2024-10-05 17:36:02,6.394
2024-10-05 17:39:27.804,2024-10-05 17:39:24,3.804
2024-10-05 17:42:49.060,2024-10-05 17:42:46,3.06
2024-10-05 17:43:51.295,2024-10-05 17:43:48,3.295
2024-10-05 17:47:13.913,2024-10-05 17:47:11,2.913
2024-10-05 17:50:36.299,2024-10-05 17:50:33,3.299
2024-10-05 17:53:57.721,2024-10-05 17:53:54,3.721
2024-10-05 17:57:19.102,2024-10-05 17:57:16,3.102
2024-10-05 17:58:04.222,2024-10-05 17:58:00,4.222
2024-10-05 18:01:25.487,2024-10-05 18:01:22,3.487
2024-10-05 18:04:47.906,2024-10-05 18:04:44,3.906
2024-10-05 18:08:10.284,2024-10-05 18:08:06,4.284
2024-10-05 18:11:31.516,2024-10-05 18:11:28,3.516
2024-10-05 18:14:52.930,2024-10-05 18:14:49,3.93
2024-10-05 18:18:15.341,2024-10-05 18:18:11,4.341
2024-10-05 18:21:36.615,2024-10-05 18:21:33,3.615
2024-10-05 18:24:59.034,2024-10-05 18:24:55,4.034
2024-10-05 18:28:20.440,2024-10-05 18:28:17,3.44
2024-10-05 18:31:41.715,2024-10-05 18:31:38,3.715
2024-10-05 18:35:04.118,2024-10-05 18:35:00,4.118
2024-10-05 18:38:26.645,2024-10-05 18:38:22,4.645
2024-10-05 18:41:46.920,2024-10-05 18:41:44,2.92
2024-10-05 18:45:09.348,2024-10-05 18:45:06,3.348
2024-10-05 18:48:31.849,2024-10-05 18:48:28,3.849
2024-10-05 18:51:54.112,2024-10-05 18:51:49,5.112
2024-10-05 18:55:15.542,2024-10-05 18:55:11,4.542
2024-10-05 18:58:37.012,2024-10-05 18:58:33,4.012
2024-10-05 19:02:01.302,2024-10-05 19:01:55,6.302
2024-10-05 19:05:20.696,2024-10-05 19:05:17,3.696
2024-10-05 19:08:42.117,2024-10-05 19:08:39,3.117
2024-10-05 19:12:04.388,2024-10-05 19:12:00,4.388
2024-10-05 19:15:25.809,2024-10-05 19:15:22,3.809
2024-10-05 19:18:48.195,2024-10-05 19:18:44,4.195
2024-10-05 19:22:09.518,2024-10-05 19:22:06,3.518
2024-10-05 19:25:30.931,2024-10-05 19:25:28,2.931
2024-10-05 19:28:53.342,2024-10-05 19:28:49,4.342
2024-10-05 19:32:14.616,2024-10-05 19:32:11,3.616
2024-10-05 19:35:36.022,2024-10-05 19:35:33,3.022
2024-10-05 19:38:58.474,2024-10-05 19:38:55,3.474
2024-10-05 19:42:19.772,2024-10-05 19:42:17,2.772
2024-10-05 19:45:42.183,2024-10-05 19:45:39,3.183
2024-10-05 19:49:03.597,2024-10-05 19:49:00,3.597
2024-10-05 19:52:25.868,2024-10-05 19:52:22,3.868
2024-10-05 19:55:48.287,2024-10-05 19:55:44,4.287
2024-10-05 19:59:09.701,2024-10-05 19:59:06,3.701
2024-10-05 20:02:31.023,2024-10-05 20:02:28,3.023
2024-10-05 20:05:53.450,2024-10-05 20:05:49,4.45
2024-10-05 20:09:14.904,2024-10-05 20:09:11,3.904
2024-10-05 20:12:36.185,2024-10-05 20:12:33,3.185
2024-10-05 20:15:58.687,2024-10-05 20:15:55,3.687
2024-10-05 20:19:20.092,2024-10-05 20:19:17,3.092
2024-10-05 20:22:44.357,2024-10-05 20:22:39,5.357
2024-10-05 20:26:03.808,2024-10-05 20:26:00,3.808
2024-10-05 20:29:25.230,2024-10-05 20:29:22,3.23
2024-10-05 20:32:48.498,2024-10-05 20:32:44,4.498
2024-10-05 20:36:09.936,2024-10-05 20:36:06,3.936
2024-10-05 20:39:32.348,2024-10-05 20:39:28,4.348
2024-10-05 20:42:53.629,2024-10-05 20:42:50,3.629
2024-10-05 20:46:15.034,2024-10-05 20:46:12,3.034
2024-10-05 20:49:37.454,2024-10-05 20:49:33,4.454
2024-10-05 20:52:58.743,2024-10-05 20:52:55,3.743
2024-10-05 20:56:20.215,2024-10-05 20:56:17,3.215
2024-10-05 20:59:42.626,2024-10-05 20:59:39,3.626
2024-10-05 21:03:03.899,2024-10-05 21:03:01,2.899
2024-10-05 21:06:26.359,2024-10-05 21:06:23,3.359
2024-10-05 21:09:47.789,2024-10-05 21:09:44,3.789
2024-10-05 21:13:10.085,2024-10-05 21:13:06,4.085
2024-10-05 21:16:32.496,2024-10-05 21:16:28,4.496
2024-10-05 21:19:53.917,2024-10-05 21:19:50,3.917
2024-10-05 21:23:15.199,2024-10-05 21:23:12,3.199
2024-10-05 21:26:37.577,2024-10-05 21:26:33,4.577
2024-10-05 21:29:58.966,2024-10-05 21:29:55,3.966
2024-10-05 21:33:20.255,2024-10-05 21:33:17,3.255
2024-10-05 21:36:42.691,2024-10-05 21:36:39,3.691
2024-10-05 21:40:04.104,2024-10-05 21:40:01,3.104
2024-10-05 21:43:25.377,2024-10-05 21:43:22,3.377
2024-10-05 21:46:47.781,2024-10-05 21:46:44,3.781
2024-10-05 21:50:09.195,2024-10-05 21:50:06,3.195
2024-10-05 21:53:31.483,2024-10-05 21:53:28,3.483
